sourceZone;aspect;operator;value;unit;usage
EX;TotalHeight;max;65;intl_ft;Office
EX;FrontSetback;min;0;intl_ft;Office
EX;RearSetback;min;0;intl_ft;Office
EX;LeftSetback;min;0;intl_ft;Office
EX;SiteCoverage;max;0;;Office
EX;FloorAreaRatio;max;3;;Office
CX;TotalHeight;max;200;intl_ft;Office
CX;FrontSetback;min;14;intl_ft;Office
CX;RearSetback;min;14;intl_ft;Office
CX;LeftSetback;min;14;intl_ft;Office
CX;SiteCoverage;max;1;;Office
CX;FloorAreaRatio;max;4;;Office
RH;TotalHeight;max;75;intl_ft;Residential
RH;FrontSetback;min;20;intl_ft;Residential
RH;RearSetback;min;10;intl_ft;Residential
RH;LeftSetback;min;14;intl_ft;Residential
RH;SiteCoverage;max;0;;Residential
RH;FloorAreaRatio;max;2;;Residential
